data_coleta;uf;taxa_ocup;alerta
2020-07-17;Rondônia; 74,2;Médio
2020-07-27;Rondônia; 79,2;Médio
2020-08-10;Rondônia; 62,6;Médio
2020-08-24;Rondônia; 71,0;Médio
2020-09-07;Rondônia; 66,8;Médio
2020-09-21;Rondônia; 55,6;Baixo
2020-10-05;Rondônia; 42,0;Baixo
2020-10-26;Rondônia; 29,7;Baixo
2020-11-09;Rondônia; 27,8;Baixo
2020-11-23;Rondônia; 46,4;Baixo
2020-12-07;Rondônia; 61,9;Médio
2020-12-21;Rondônia; 59,4;Baixo
2021-01-04;Rondônia; 72,3;Médio
2021-01-18;Rondônia; 91,6;Crítico
2021-02-01;Rondônia; 94,2;Crítico
2021-02-22;Rondônia; 97,1;Crítico
2021-03-01;Rondônia; 97,0;Crítico
2021-03-08;Rondônia; 97,6;Crítico
2021-03-15;Rondônia; 98,0;Crítico
2021-03-22;Rondônia;100,0;Crítico
2021-03-29;Rondônia; 98,0;Crítico
2021-04-05;Rondônia; 96,0;Crítico
2021-04-12;Rondônia; 96,0;Crítico
2021-04-19;Rondônia; 94,0;Crítico
2021-04-26;Rondônia; 85,0;Crítico
2021-05-03;Rondônia; 89,0;Crítico
2021-05-10;Rondônia; 88,0;Crítico
2021-05-17;Rondônia; 83,0;Crítico
2021-05-24;Rondônia; 79,0;Médio
2021-05-31;Rondônia; 72,0;Médio
2021-06-07;Rondônia; 62,0;Médio
2021-06-14;Rondônia; 57,0;Baixo
2020-07-17;Acre; 28,0;Baixo
2020-07-27;Acre; 56,7;Baixo
2020-08-10;Acre; 74,5;Médio
2020-08-24;Acre; 56,7;Baixo
2020-09-07;Acre; 46,7;Baixo
2020-09-21;Acre; 27,8;Baixo
2020-10-05;Acre; 31,1;Baixo
2020-10-26;Acre; 30,0;Baixo
2020-11-09;Acre; 27,8;Baixo
2020-11-23;Acre; 28,9;Baixo
2020-12-07;Acre; 62,5;Médio
2020-12-21;Acre; 63,1;Médio
2021-01-04;Acre; 64,6;Médio
2021-01-18;Acre; 76,9;Médio
2021-02-01;Acre; 80,0;Crítico
2021-02-22;Acre; 88,7;Crítico
2021-03-01;Acre; 92,0;Crítico
2021-03-08;Acre; 96,2;Crítico
2021-03-15;Acre; 94,0;Crítico
2021-03-22;Acre; 90,0;Crítico
2021-03-29;Acre; 97,0;Crítico
2021-04-05;Acre; 95,0;Crítico
2021-04-12;Acre; 92,0;Crítico
2021-04-19;Acre; 94,0;Crítico
2021-04-26;Acre; 83,0;Crítico
2021-05-03;Acre; 77,0;Médio
2021-05-10;Acre; 57,0;Baixo
2021-05-17;Acre; 50,0;Baixo
2021-05-24;Acre; 47,0;Baixo
2021-05-31;Acre; 43,0;Baixo
2021-06-07;Acre; 41,0;Baixo
2021-06-14;Acre; 40,0;Baixo
2020-07-17;Amazonas; 46,0;Baixo
2020-07-27;Amazonas; 34,8;Baixo
2020-08-10;Amazonas; 26,1;Baixo
2020-08-24;Amazonas; 25,1;Baixo
2020-09-07;Amazonas; 47,9;Baixo
2020-09-21;Amazonas; 55,4;Baixo
2020-10-05;Amazonas; 68,3;Médio
2020-10-26;Amazonas; 67,7;Médio
2020-11-09;Amazonas; 88,5;Crítico
2020-11-23;Amazonas; 86,0;Crítico
2020-12-07;Amazonas; 76,7;Médio
2020-12-21;Amazonas; 82,3;Crítico
2021-01-04;Amazonas; 89,2;Crítico
2021-01-18;Amazonas; 94,1;Crítico
2021-02-01;Amazonas; 90,1;Crítico
2021-02-22;Amazonas; 94,6;Crítico
2021-03-01;Amazonas; 92,0;Crítico
2021-03-08;Amazonas; 87,4;Crítico
2021-03-15;Amazonas; 80,0;Crítico
2021-03-22;Amazonas; 79,0;Médio
2021-03-29;Amazonas; 76,0;Médio
2021-04-05;Amazonas; 75,0;Médio
2021-04-12;Amazonas; 73,0;Médio
2021-04-19;Amazonas; 69,0;Médio
2021-04-26;Amazonas; 65,0;Médio
2021-05-03;Amazonas; 63,0;Médio
2021-05-10;Amazonas; 55,0;Baixo
2021-05-17;Amazonas; 50,0;Baixo
2021-05-24;Amazonas; 57,0;Baixo
2021-05-31;Amazonas; 62,0;Médio
2021-06-07;Amazonas; 61,0;Médio
2021-06-14;Amazonas; 62,0;Médio
2020-07-17;Roraima; 72,0;Médio
2020-07-27;Roraima; 70,8;Médio
2020-08-10;Roraima; 54,8;Baixo
2020-08-24;Roraima; 70,8;Médio
2020-09-07;Roraima; 50,0;Baixo
2020-09-21;Roraima; 50,0;Baixo
2020-10-05;Roraima; 42,0;Baixo
