date,Enfermaria Particular,UTI Particular,Total de leitos particulares
25 de mar. de 2020,,,
26 de mar. de 2020,,,
27 de mar. de 2020,,,
28 de mar. de 2020,,,
29 de mar. de 2020,,,
30 de mar. de 2020,,,
31 de mar. de 2020,,,
1 de abr. de 2020,,,
2 de abr. de 2020,,,
3 de abr. de 2020,,,
4 de abr. de 2020,,,
5 de abr. de 2020,,,
6 de abr. de 2020,,,
7 de abr. de 2020,,,
8 de abr. de 2020,,,
9 de abr. de 2020,,,
10 de abr. de 2020,,,
11 de abr. de 2020,,,
12 de abr. de 2020,,,
13 de abr. de 2020,,,
14 de abr. de 2020,,,
15 de abr. de 2020,,,
16 de abr. de 2020,,,
17 de abr. de 2020,,,
18 de abr. de 2020,,,
19 de abr. de 2020,,,
20 de abr. de 2020,,,
21 de abr. de 2020,,,
22 de abr. de 2020,,,
23 de abr. de 2020,,,
24 de abr. de 2020,,,
25 de abr. de 2020,,,
26 de abr. de 2020,,,
27 de abr. de 2020,,,
28 de abr. de 2020,,,
29 de abr. de 2020,,,
30 de abr. de 2020,,,
1 de mai. de 2020,,,
2 de mai. de 2020,,,
3 de mai. de 2020,,,
4 de mai. de 2020,,,
5 de mai. de 2020,,,
6 de mai. de 2020,,,
7 de mai. de 2020,,,
8 de mai. de 2020,,,
9 de mai. de 2020,,,
10 de mai. de 2020,,,
11 de mai. de 2020,,,
12 de mai. de 2020,,,
13 de mai. de 2020,,,
14 de mai. de 2020,,,
15 de mai. de 2020,,,
16 de mai. de 2020,,,
17 de mai. de 2020,,,
18 de mai. de 2020,,,
19 de mai. de 2020,,,
20 de mai. de 2020,,,
21 de mai. de 2020,,,
22 de mai. de 2020,,,
23 de mai. de 2020,,,
24 de mai. de 2020,,,
25 de mai. de 2020,,,
26 de mai. de 2020,,,
27 de mai. de 2020,,,
28 de mai. de 2020,,,
29 de mai. de 2020,,,
30 de mai. de 2020,,,
31 de mai. de 2020,,,
1 de jun. de 2020,,,
2 de jun. de 2020,,,
3 de jun. de 2020,,,
4 de jun. de 2020,,,
5 de jun. de 2020,,,
6 de jun. de 2020,,,
7 de jun. de 2020,,,
8 de jun. de 2020,,,
9 de jun. de 2020,,,
10 de jun. de 2020,,,
11 de jun. de 2020,,,
12 de jun. de 2020,,,
13 de jun. de 2020,,,
14 de jun. de 2020,,,
15 de jun. de 2020,,,
16 de jun. de 2020,,,
17 de jun. de 2020,,,
18 de jun. de 2020,,,
19 de jun. de 2020,,,
20 de jun. de 2020,,,
21 de jun. de 2020,,,
22 de jun. de 2020,53,10,63
23 de jun. de 2020,44,9,53
24 de jun. de 2020,43,9,52
25 de jun. de 2020,44,9,53
26 de jun. de 2020,,,
27 de jun. de 2020,40,9,49
28 de jun. de 2020,39,10,49
29 de jun. de 2020,51,12,63
30 de jun. de 2020,53,12,65
1 de jul. de 2020,49,11,60
2 de jul. de 2020,43,10,53
3 de jul. de 2020,42,9,51
4 de jul. de 2020,40,9,49
5 de jul. de 2020,35,9,44
6 de jul. de 2020,48,8,56
7 de jul. de 2020,42,6,48
8 de jul. de 2020,53,6,59
9 de jul. de 2020,34,6,40
10 de jul. de 2020,29,7,36
11 de jul. de 2020,30,7,37
12 de jul. de 2020,28,6,34
13 de jul. de 2020,34,9,43
14 de jul. de 2020,39,8,47
15 de jul. de 2020,42,10,52
16 de jul. de 2020,30,11,41
17 de jul. de 2020,22,10,32
18 de jul. de 2020,30,10,40
19 de jul. de 2020,22,11,33
20 de jul. de 2020,38,8,46
21 de jul. de 2020,37,9,46
22 de jul. de 2020,41,11,52
23 de jul. de 2020,40,14,54
24 de jul. de 2020,44,13,57
25 de jul. de 2020,36,10,46
26 de jul. de 2020,30,9,39
27 de jul. de 2020,40,9,49
28 de jul. de 2020,48,10,58
29 de jul. de 2020,45,11,56
30 de jul. de 2020,47,11,58
31 de jul. de 2020,52,10,62
1 de ago. de 2020,45,11,56
2 de ago. de 2020,49,10,59
3 de ago. de 2020,43,10,53
4 de ago. de 2020,42,8,50
5 de ago. de 2020,34,11,45
6 de ago. de 2020,34,10,44
7 de ago. de 2020,30,15,45
8 de ago. de 2020,27,11,38
9 de ago. de 2020,26,10,36
10 de ago. de 2020,30,10,40
11 de ago. de 2020,32,11,43
12 de ago. de 2020,18,12,30
13 de ago. de 2020,33,10,43
14 de ago. de 2020,28,8,36
15 de ago. de 2020,25,9,34
16 de ago. de 2020,32,9,41
17 de ago. de 2020,25,9,34
18 de ago. de 2020,19,9,28
19 de ago. de 2020,21,9,30
20 de ago. de 2020,24,7,31
21 de ago. de 2020,24,6,30
22 de ago. de 2020,20,6,26
23 de ago. de 2020,20,7,27
24 de ago. de 2020,30,9,39
25 de ago. de 2020,22,9,31
26 de ago. de 2020,20,8,28
27 de ago. de 2020,17,8,25
28 de ago. de 2020,14,9,23
29 de ago. de 2020,18,8,26
30 de ago. de 2020,19,8,27
31 de ago. de 2020,13,7,20
1 de set. de 2020,16,7,23
2 de set. de 2020,9,8,17
3 de set. de 2020,11,10,21
4 de set. de 2020,1,10,11
5 de set. de 2020,3,9,12
6 de set. de 2020,8,11,19
7 de set. de 2020,8,11,19
8 de set. de 2020,10,4,14
9 de set. de 2020,10,4,14
10 de set. de 2020,11,4,15
11 de set. de 2020,13,4,17
12 de set. de 2020,14,5,19
13 de set. de 2020,15,4,19
14 de set. de 2020,10,7,17
15 de set. de 2020,10,5,15
16 de set. de 2020,8,5,13
17 de set. de 2020,11,3,14
18 de set. de 2020,14,4,18
19 de set. de 2020,11,3,14
20 de set. de 2020,8,2,10
21 de set. de 2020,7,2,9
22 de set. de 2020,12,1,13
23 de set. de 2020,11,2,13
24 de set. de 2020,7,3,10
25 de set. de 2020,9,1,10
26 de set. de 2020,5,1,6
27 de set. de 2020,6,0,6
28 de set. de 2020,8,2,10
29 de set. de 2020,6,3,9
30 de set. de 2020,2,3,5
1 de out. de 2020,4,3,7
2 de out. de 2020,2,3,5
3 de out. de 2020,2,3,5
4 de out. de 2020,1,3,4
