date,Enfermaria Público,UTI Publico,Total de leitos públicos
25 de mar. de 2020,,,
26 de mar. de 2020,,,
27 de mar. de 2020,,,
28 de mar. de 2020,,,
29 de mar. de 2020,,,
30 de mar. de 2020,,,
31 de mar. de 2020,,,
1 de abr. de 2020,,,
2 de abr. de 2020,,,
3 de abr. de 2020,,,
4 de abr. de 2020,,,
5 de abr. de 2020,,,
6 de abr. de 2020,,,
7 de abr. de 2020,,,
8 de abr. de 2020,,,
9 de abr. de 2020,,,
10 de abr. de 2020,,,
11 de abr. de 2020,,,
12 de abr. de 2020,,,
13 de abr. de 2020,,,
14 de abr. de 2020,,,
15 de abr. de 2020,,,
16 de abr. de 2020,,,
17 de abr. de 2020,,,
18 de abr. de 2020,,,
19 de abr. de 2020,,,
20 de abr. de 2020,,,
21 de abr. de 2020,,,
22 de abr. de 2020,,,
23 de abr. de 2020,,,
24 de abr. de 2020,,,
25 de abr. de 2020,,,
26 de abr. de 2020,,,
27 de abr. de 2020,,,
28 de abr. de 2020,,,
29 de abr. de 2020,,,
30 de abr. de 2020,,,
1 de mai. de 2020,,,
2 de mai. de 2020,,,
3 de mai. de 2020,,,
4 de mai. de 2020,,,
5 de mai. de 2020,,,
6 de mai. de 2020,,,
7 de mai. de 2020,,,
8 de mai. de 2020,,,
9 de mai. de 2020,,,
10 de mai. de 2020,,,
11 de mai. de 2020,,,
12 de mai. de 2020,,,
13 de mai. de 2020,,,
14 de mai. de 2020,,,
15 de mai. de 2020,,,
16 de mai. de 2020,,,
17 de mai. de 2020,,,
18 de mai. de 2020,,,
19 de mai. de 2020,,,
20 de mai. de 2020,,,
21 de mai. de 2020,,,
22 de mai. de 2020,,,
23 de mai. de 2020,,,
24 de mai. de 2020,,,
25 de mai. de 2020,,,
26 de mai. de 2020,,,
27 de mai. de 2020,,,
28 de mai. de 2020,,,
29 de mai. de 2020,,,
30 de mai. de 2020,,,
31 de mai. de 2020,,,
1 de jun. de 2020,,,
2 de jun. de 2020,,,
3 de jun. de 2020,,,
4 de jun. de 2020,,,
5 de jun. de 2020,,,
6 de jun. de 2020,,,
7 de jun. de 2020,,,
8 de jun. de 2020,,,
9 de jun. de 2020,,,
10 de jun. de 2020,,,
11 de jun. de 2020,,,
12 de jun. de 2020,,,
13 de jun. de 2020,,,
14 de jun. de 2020,,,
15 de jun. de 2020,,,
16 de jun. de 2020,,,
17 de jun. de 2020,,,
18 de jun. de 2020,,,
19 de jun. de 2020,,,
20 de jun. de 2020,,,
21 de jun. de 2020,,,
22 de jun. de 2020,26,16,42
23 de jun. de 2020,26,16,42
24 de jun. de 2020,26,17,43
25 de jun. de 2020,27,14,41
26 de jun. de 2020,,,
27 de jun. de 2020,28,14,42
28 de jun. de 2020,27,12,39
29 de jun. de 2020,31,13,44
30 de jun. de 2020,27,13,40
1 de jul. de 2020,27,14,41
2 de jul. de 2020,20,16,36
3 de jul. de 2020,24,14,38
4 de jul. de 2020,21,11,32
5 de jul. de 2020,19,10,29
6 de jul. de 2020,15,12,27
7 de jul. de 2020,14,15,29
8 de jul. de 2020,17,17,34
9 de jul. de 2020,16,20,36
10 de jul. de 2020,14,20,34
11 de jul. de 2020,15,17,32
12 de jul. de 2020,16,14,30
13 de jul. de 2020,11,18,29
14 de jul. de 2020,16,17,33
15 de jul. de 2020,20,14,34
16 de jul. de 2020,20,16,36
17 de jul. de 2020,17,18,35
18 de jul. de 2020,17,17,34
19 de jul. de 2020,17,19,36
20 de jul. de 2020,23,20,43
21 de jul. de 2020,19,19,38
22 de jul. de 2020,20,17,37
23 de jul. de 2020,20,18,38
24 de jul. de 2020,19,17,36
25 de jul. de 2020,19,15,34
26 de jul. de 2020,21,15,36
27 de jul. de 2020,21,14,35
28 de jul. de 2020,20,16,36
29 de jul. de 2020,20,17,37
30 de jul. de 2020,19,16,35
31 de jul. de 2020,13,17,30
1 de ago. de 2020,15,17,32
2 de ago. de 2020,14,16,30
3 de ago. de 2020,18,15,33
4 de ago. de 2020,19,16,35
5 de ago. de 2020,18,17,35
6 de ago. de 2020,17,19,36
7 de ago. de 2020,16,11,27
8 de ago. de 2020,14,14,28
9 de ago. de 2020,19,13,32
10 de ago. de 2020,18,17,35
11 de ago. de 2020,17,17,34
12 de ago. de 2020,20,18,38
13 de ago. de 2020,25,20,45
14 de ago. de 2020,17,21,38
15 de ago. de 2020,18,20,38
16 de ago. de 2020,18,21,39
17 de ago. de 2020,10,19,29
18 de ago. de 2020,13,19,32
19 de ago. de 2020,5,16,21
20 de ago. de 2020,7,16,23
21 de ago. de 2020,9,12,21
22 de ago. de 2020,11,10,21
23 de ago. de 2020,10,10,20
24 de ago. de 2020,10,11,21
25 de ago. de 2020,10,11,21
26 de ago. de 2020,10,12,22
27 de ago. de 2020,12,12,24
28 de ago. de 2020,11,12,23
29 de ago. de 2020,8,9,17
30 de ago. de 2020,8,9,17
31 de ago. de 2020,9,10,19
1 de set. de 2020,6,10,16
2 de set. de 2020,3,13,16
3 de set. de 2020,3,12,15
4 de set. de 2020,1,11,12
5 de set. de 2020,2,13,15
6 de set. de 2020,2,19,21
7 de set. de 2020,2,11,13
8 de set. de 2020,7,8,15
9 de set. de 2020,17,8,25
10 de set. de 2020,15,8,23
11 de set. de 2020,6,7,13
12 de set. de 2020,15,7,22
13 de set. de 2020,20,7,27
14 de set. de 2020,19,8,27
15 de set. de 2020,18,10,28
16 de set. de 2020,18,10,28
17 de set. de 2020,13,11,24
18 de set. de 2020,13,11,24
19 de set. de 2020,10,10,20
20 de set. de 2020,7,9,16
21 de set. de 2020,4,8,12
22 de set. de 2020,6,8,14
23 de set. de 2020,5,11,16
24 de set. de 2020,6,11,17
25 de set. de 2020,7,9,16
26 de set. de 2020,12,8,20
27 de set. de 2020,12,8,20
28 de set. de 2020,9,12,21
29 de set. de 2020,11,9,20
30 de set. de 2020,12,11,23
1 de out. de 2020,10,10,20
2 de out. de 2020,4,11,15
3 de out. de 2020,4,9,13
4 de out. de 2020,5,8,13
