Data,Casos novos,Recuperados,Descartados,Óbitos,Casos ativos,Internados SARG,Internados UTI,Rt,Casos 7 ultimos dias,Internações 7 últimos,UTI 7 últimos,Óbitos 7 últimos
18 de jul. de 2021,0,0,0,2,430,63,40,0.89,40,71.57142857142857,38.857142857142854,6
17 de jul. de 2021,49,63,155,0,432,72,40,0.84,40,73.28571428571429,39.285714285714285,4
16 de jul. de 2021,41,53,267,0,446,70,36,0.8,40.57142857142857,73.71428571428571,39.714285714285715,5
15 de jul. de 2021,44,69,142,0,458,78,38,0.64,34.714285714285715,76.14285714285714,40.285714285714285,5
14 de jul. de 2021,51,68,208,0,483,74,37,0.62,35.857142857142854,77.42857142857143,40.57142857142857,7
13 de jul. de 2021,66,46,211,2,500,73,37,0.63,39,78.28571428571429,41.857142857142854,8
12 de jul. de 2021,29,112,136,2,482,71,44,0.52,33.857142857142854,80.28571428571429,43.285714285714285,6
11 de jul. de 2021,0,0,0,0,567,75,43,0.58,39.57142857142857,82,43.714285714285715,5
10 de jul. de 2021,53,57,215,1,567,75,43,0.55,39.57142857142857,84.28571428571429,44.42857142857143,5
9 de jul. de 2021,0,78,0,0,572,87,40,0.52,38.57142857142857,86.57142857142857,45.142857142857146,5
8 de jul. de 2021,52,88,160,2,650,87,40,0.64,49,87.85714285714286,46.57142857142857,8
7 de jul. de 2021,73,87,245,1,688,80,46,0.67,52.857142857142854,90.14285714285714,49.857142857142854,10
6 de jul. de 2021,30,92,90,0,703,87,47,0.75,60.714285714285715,94.28571428571429,53.142857142857146,9
5 de jul. de 2021,69,100,194,1,765,83,47,0.8,66.28571428571429,98.42857142857143,55.857142857142854,12
4 de jul. de 2021,0,81,0,0,797,91,48,0.76,64.71428571428571,102.71428571428571,58.285714285714285,16
3 de jul. de 2021,46,69,109,1,878,91,48,0.74,64.71428571428571,106.57142857142857,60.857142857142854,17
2 de jul. de 2021,73,89,194,3,902,96,50,0.88,78.28571428571429,112.14285714285714,63.42857142857143,16
1 de jul. de 2021,79,117,199,4,921,103,63,0.85,78.14285714285714,116.71428571428571,65.28571428571429,13
30 de jun. de 2021,128,78,209,0,963,109,69,0.78,74.28571428571429,119.71428571428571,64.85714285714286,11
29 de jun. de 2021,69,90,170,3,913,116,66,0.81,79,121.85714285714286,65.57142857142857,18
28 de jun. de 2021,58,97,137,5,937,113,64,0.79,80,125.28571428571429,67.14285714285714,17
27 de jun. de 2021,0,80,0,1,981,118,66,0.79,82,129.28571428571428,68.71428571428571,13
26 de jun. de 2021,141,88,252,0,1062,130,66,0.78,82,132.85714285714286,70,16
25 de jun. de 2021,72,91,155,0,1009,128,63,0.69,74.14285714285714,135.28571428571428,71.57142857142857,19
24 de jun. de 2021,52,86,123,2,1028,124,60,0.77,82.14285714285714,138.85714285714286,72.71428571428571,23
23 de jun. de 2021,161,72,195,7,1064,124,74,0.93,99.28571428571429,144.14285714285714,75,23
22 de jun. de 2021,76,69,260,2,982,140,77,0.86,90.57142857142857,149.57142857142858,76.71428571428571,19
21 de jun. de 2021,72,86,133,1,977,141,75,1,104.14285714285714,153.85714285714286,78,22
20 de jun. de 2021,0,87,0,4,992,143,75,1.07,108,157.85714285714286,80.85714285714286,22
19 de jun. de 2021,86,74,143,3,1083,147,77,1.1,108,160.85714285714286,81.14285714285714,21
18 de jun. de 2021,128,84,275,4,1074,153,71,1.17,110.14285714285714,164.14285714285714,82.57142857142857,20
17 de jun. de 2021,172,92,238,2,1034,161,76,1.26,112.28571428571429,164.71428571428572,83.85714285714286,17
16 de jun. de 2021,100,93,222,3,956,162,86,1.27,106.85714285714286,167.57142857142858,83.85714285714286,16
15 de jun. de 2021,171,81,248,5,952,170,86,1.48,116.85714285714286,167.57142857142858,81.71428571428571,18
14 de jun. de 2021,99,79,190,1,867,169,95,1.51,111.85714285714286,163.71428571428572,79.28571428571429,17
13 de jun. de 2021,0,74,0,3,848,164,77,1.57,109,158.71428571428572,75.42857142857143,17
12 de jun. de 2021,101,72,196,2,925,170,87,1.66,109,155.14285714285714,74.28571428571429,14
11 de jun. de 2021,143,87,152,1,898,157,80,1.76,111.14285714285714,150.71428571428572,71.71428571428571,13
10 de jun. de 2021,134,71,240,1,843,181,76,1.75,107.71428571428571,147.28571428571428,70.42857142857143,13
9 de jun. de 2021,170,58,221,5,781,162,71,1.46,88.57142857142857,141,69.28571428571429,13
8 de jun. de 2021,136,96,329,4,674,143,69,1.3,77.71428571428571,137.14285714285714,68.14285714285714,8
7 de jun. de 2021,79,69,209,1,638,134,68,1.17,68.71428571428571,135.14285714285714,67.14285714285714,6
6 de jun. de 2021,0,74,0,0,629,139,69,1.13,65.42857142857143,132.71428571428572,67,7
5 de jun. de 2021,116,63,242,1,703,139,69,1.15,65.42857142857143,130.28571428571428,66.28571428571429,7
4 de jun. de 2021,119,64,276,1,651,133,71,1.1,61.42857142857143,127.85714285714286,65.57142857142857,10
3 de jun. de 2021,0,45,0,1,597,137,68,1.06,58.285714285714285,127.71428571428571,65.42857142857143,11
2 de jun. de 2021,94,80,155,0,643,135,63,1.25,67.71428571428571,126.57142857142857,65.42857142857143,12
1 de jun. de 2021,73,38,176,2,629,129,62,1.14,61.57142857142857,123.57142857142857,66.14285714285714,14
31 de mai. de 2021,56,69,133,2,596,117,67,1.09,59.42857142857143,121.85714285714286,65.57142857142857,13
30 de mai. de 2021,0,58,0,0,611,122,64,1.14,63.42857142857143,121.71428571428571,64.42857142857143,15
29 de mai. de 2021,88,57,157,4,669,122,64,1.11,63.42857142857143,119.42857142857143,62.285714285714285,16
28 de mai. de 2021,97,30,234,2,642,132,70,0.91,53.714285714285715,117.71428571428571,60.714285714285715,14
27 de mai. de 2021,66,65,136,2,577,129,68,0.79,48,113.85714285714286,57.714285714285715,14
26 de mai. de 2021,51,55,233,2,578,114,68,0.73,45.857142857142854,111.14285714285714,54.57142857142857,15
