Data,Casos novos,Recuperados,Descartados,Óbitos,Casos ativos,Internados SARG,Internados UTI,Rt,Casos 7 ultimos dias,Internações 7 últimos,UTI 7 últimos,Óbitos 7 últimos
16 de abr. de 2021,48,44,32,2,966,115,54,0.95,52.714285714285715,117.14285714285714,56,18
15 de abr. de 2021,69,43,141,3,964,115,56,0.99,55.57142857142857,119.14285714285714,57.142857142857146,20
14 de abr. de 2021,28,24,68,1,941,108,56,0.92,52.714285714285715,122.42857142857143,58.142857142857146,22
13 de abr. de 2021,84,48,74,5,938,116,55,0.98,57.714285714285715,125.85714285714286,60,25
12 de abr. de 2021,42,64,70,4,907,112,53,0.91,55.714285714285715,129.85714285714286,62,25
11 de abr. de 2021,0,49,0,2,933,126,58,0.88,56.714285714285715,132.42857142857142,64.71428571428571,26
10 de abr. de 2021,98,75,83,1,984,128,60,0.83,56.714285714285715,138.28571428571428,68.42857142857143,24
9 de abr. de 2021,68,61,82,4,962,129,62,0.75,54,144.14285714285714,72.14285714285714,26
8 de abr. de 2021,49,57,85,5,959,138,63,0.58,44.285714285714285,150.71428571428572,74.85714285714286,26
7 de abr. de 2021,63,56,33,4,972,132,69,0.59,47.285714285714285,156.28571428571428,77.57142857142857,24
6 de abr. de 2021,70,59,112,5,969,144,69,0.61,51.142857142857146,161.57142857142858,79,23
5 de abr. de 2021,49,27,89,5,963,130,72,0.61,54.142857142857146,165.57142857142858,80,19
4 de abr. de 2021,0,43,0,0,946,167,84,0.63,58.714285714285715,172.71428571428572,81.28571428571429,24
3 de abr. de 2021,79,62,53,3,989,169,86,0.63,58.714285714285715,171.14285714285714,80,26
2 de abr. de 2021,0,67,0,4,975,175,81,0.63,60.42857142857143,169.71428571428572,79.14285714285714,25
1 de abr. de 2021,70,52,66,3,1046,177,82,0.8,77.57142857142857,167.28571428571428,78.28571428571429,24
31 de mar. de 2021,90,73,99,3,1031,169,79,0.83,81.42857142857143,165.28571428571428,77.71428571428571,25
30 de mar. de 2021,91,82,71,1,1017,172,76,0.82,80.85714285714286,162.57142857142858,78,24
29 de mar. de 2021,81,64,119,10,1009,180,81,0.88,86.85714285714286,160.57142857142858,78.14285714285714,26
28 de mar. de 2021,0,114,0,2,1002,156,75,0.9,88.14285714285714,155.42857142857142,76,23
27 de mar. de 2021,91,78,126,2,1118,159,80,0.98,93.85714285714286,155.14285714285714,75.57142857142857,24
26 de mar. de 2021,120,75,111,3,1107,158,75,1.02,94,153.85714285714286,74.57142857142857,23
25 de mar. de 2021,97,59,102,4,1065,163,78,1.1,97,153.42857142857142,74.85714285714286,22
24 de mar. de 2021,86,96,83,2,1031,150,81,1.17,96.71428571428571,151.85714285714286,74,27
23 de mar. de 2021,133,74,117,3,1043,158,77,1.36,105.57142857142857,151,73,28
22 de mar. de 2021,90,50,60,7,987,144,66,1.49,108,148.85714285714286,72.57142857142857,30
21 de mar. de 2021,40,65,103,3,954,154,72,1.7,115.42857142857143,148.42857142857142,74,29
20 de mar. de 2021,92,68,89,1,982,150,73,1.71,109.71428571428571,143.57142857142858,73.28571428571429,27
19 de mar. de 2021,141,114,114,2,959,155,77,1.67,102.28571428571429,140.85714285714286,72,26
18 de mar. de 2021,95,64,96,9,934,152,72,1.65,98,137.85714285714286,70.14285714285714,27
17 de mar. de 2021,148,80,92,3,912,144,74,1.55,90.71428571428571,134.14285714285714,68.85714285714286,20
16 de mar. de 2021,150,50,145,5,847,143,74,1.44,84.42857142857143,131,66.85714285714286,18
15 de mar. de 2021,142,46,65,6,752,141,76,1.28,74.85714285714286,128,64.14285714285714,17
14 de mar. de 2021,0,48,48,1,662,120,67,1.01,58.857142857142854,124.14285714285714,61.42857142857143,15
13 de mar. de 2021,40,33,27,0,711,131,64,1.01,58.857142857142854,122.71428571428571,59,15
12 de mar. de 2021,111,63,85,3,704,134,64,1.04,60.142857142857146,120.28571428571429,57.42857142857143,16
11 de mar. de 2021,44,31,35,2,659,126,63,0.97,55.714285714285715,119.28571428571429,56,15
10 de mar. de 2021,104,61,100,1,648,122,60,1.07,59.57142857142857,119.14285714285714,53.714285714285715,14
9 de mar. de 2021,83,62,66,4,606,122,55,1.02,54.142857142857146,120.57142857142857,51.57142857142857,14
8 de mar. de 2021,30,34,22,4,589,114,57,1.1,55,121.71428571428571,50.57142857142857,15
7 de mar. de 2021,0,34,0,1,597,110,50,1.26,58.857142857142854,121.57142857142857,48.857142857142854,13
6 de mar. de 2021,49,49,51,1,632,114,53,1.56,67.14285714285714,120.28571428571429,46.714285714285715,13
5 de mar. de 2021,80,38,84,2,633,127,54,1.68,66.28571428571429,118.57142857142857,44.285714285714285,12
4 de mar. de 2021,71,38,49,1,593,125,47,1.77,63.857142857142854,114.71428571428571,42,11
3 de mar. de 2021,66,51,59,1,561,132,45,1.91,63.142857142857146,108.85714285714286,41.142857142857146,13
2 de mar. de 2021,89,35,64,5,547,130,48,2.07,63.42857142857143,102.14285714285714,39.714285714285715,12
1 de mar. de 2021,57,31,111,2,498,113,45,1.96,56.285714285714285,96,38.42857142857143,9
28 de fev. de 2021,58,41,45,1,474,101,35,1.95,53.142857142857146,92.14285714285714,37,7
27 de fev. de 2021,43,31,22,0,458,102,36,1.7,44.857142857142854,90.14285714285714,36.42857142857143,6
26 de fev. de 2021,63,38,71,1,446,100,38,1.69,43.857142857142854,87.85714285714286,35.714285714285715,6
25 de fev. de 2021,66,50,53,3,422,84,41,1.47,38.142857142857146,85.85714285714286,34.714285714285715,7
24 de fev. de 2021,68,42,88,0,409,85,35,1.29,33.42857142857143,86.57142857142857,33.42857142857143,5
23 de fev. de 2021,39,25,53,2,383,87,39,0.96,25,85.42857142857143,32.42857142857143,5
22 de fev. de 2021,35,32,26,0,371,86,35,1.03,27,83.71428571428571,30.857142857142858,4
21 de fev. de 2021,0,34,0,0,368,87,31,1.01,27,81.85714285714286,29.142857142857142,4
20 de fev. de 2021,36,33,41,0,402,86,31,0.98,27,80.28571428571429,28,5
19 de fev. de 2021,23,41,68,2,399,86,31,0.82,23.714285714285715,78.57142857142857,26.857142857142858,5
18 de fev. de 2021,33,27,51,1,419,89,32,0.85,26,76.85714285714286,25.714285714285715,5
17 de fev. de 2021,9,28,128,0,414,77,28,0.82,26.714285714285715,75.42857142857143,24.714285714285715,5
16 de fev. de 2021,53,36,32,1,433,75,28,0.81,28.142857142857142,75,24.285714285714285,5
15 de fev. de 2021,35,24,15,0,417,73,23,0.6,22.142857142857142,76,24.142857142857142,6
14 de fev. de 2021,0,19,19,1,406,76,23,0.53,20.428571428571427,76.71428571428571,24.571428571428573,7
13 de fev. de 2021,13,35,19,0,426,74,23,0.51,20.428571428571427,75.57142857142857,24.571428571428573,7
12 de fev. de 2021,39,44,66,2,448,74,23,0.55,22.428571428571427,74.85714285714286,24.714285714285715,8
11 de fev. de 2021,38,34,53,1,455,79,25,0.64,26.285714285714285,74.42857142857143,24.857142857142858,7
10 de fev. de 2021,19,29,120,0,452,74,25,0.69,27.857142857142858,72.85714285714286,24.857142857142858,6
9 de fev. de 2021,11,24,25,2,462,82,27,0.84,33.714285714285715,72.14285714285714,25,7
8 de fev. de 2021,23,26,32,1,477,78,26,1.04,41.285714285714285,70.42857142857143,25.571428571428573,7
7 de fev. de 2021,0,24,0,1,481,68,23,1.03,41,68.28571428571429,25.714285714285715,6
